arch,run,base_channels,channel_multipliers,lr,alpha,sched_patience,use_beam,latent_dim,kl_weight,batch_size,best_epoch,epochs_run,best_val_loss,psnr,ssim,mse,wall_time_s
unet,0,16,1x2x4,0.0012455466690609286,0.6102013342115643,3,,,,16,26,31,0.0026021740965855617,37.58661013921102,0.9937421727180481,0.00026566631940416605,658.6055853366852
unet,1,16,1x2x4x8,0.001241812617872968,0.7454149401867574,8,,,,16,41,46,0.0015259465850734463,39.234937032063804,0.9945773120721181,0.00019506678616683834,1101.119732618332
unet,2,64,1x2x4,0.00011066597284121912,0.5983870886616215,8,,,,16,16,21,0.003505344644654542,37.60518809000651,0.9917357232173284,0.0003111197618576019,2356.7955753803253
unet,3,16,1x2x4x8,0.00019665605376708537,0.7924479970007854,8,,,,16,23,28,0.0020403001635956267,37.081340554555254,0.9913160347938538,0.0003000496462179096,678.455278635025
unet,4,64,1x2x4,0.00046082521043368815,0.6251858187037982,3,,,,16,20,25,0.0031337542067437123,37.752492326100665,0.992115786075592,0.0002857143503570114,2807.294502258301
unet,5,32,1x2x4x8,0.00042097151473888624,0.6250421037522388,3,,,,16,24,29,0.002443426316992069,38.52234945933024,0.9938730422655742,0.00023371124918488326,1510.7654511928558
unet,6,48,1x2x4,0.00013708718436549342,0.5435223695750588,5,,,,16,42,47,0.002690331540846576,38.61509689331055,0.9943660934766133,0.0002180294338298457,3788.3546237945557
unet,7,48,1x2x4,0.0011964714289481116,0.7413026411546153,5,,,,16,28,33,0.0023905744411361713,37.21395683288574,0.9917012214660644,0.0003291321155999564,2677.9843509197235
autoencoder,0,16,,0.0001088789485314939,0.6237631932661036,3,,,,16,9,20,0.037990483194589614,19.658791624704996,0.924191544453303,0.015133962294203229,246.74281859397888
autoencoder,1,32,,0.0012242138370336683,0.8045147693403101,8,,,,16,28,33,0.002294486789032817,33.63260006586711,0.990413898229599,0.000522732847360506,865.6174788475037
autoencoder,2,16,,0.0007451248388151603,0.5143022057668026,3,,,,16,36,41,0.006364416402454178,32.19576854070028,0.987751049598058,0.000743151423278808,347.39375710487366
autoencoder,3,32,,0.00022063192325853115,0.7709084280724912,8,,,,16,36,41,0.0032293832457313933,32.613429635365804,0.9882118286689122,0.0006856503779999912,498.71173906326294
autoencoder,4,32,,0.0011419518411197227,0.8155962381156061,5,,,,16,21,26,0.00345361702532197,31.990658849080404,0.9854165639479955,0.0008929754213022533,321.3858993053436
autoencoder,5,32,,0.00046082521043368815,0.6251858187037982,3,,,,16,19,24,0.008522318303585052,31.305851186116538,0.9792565013964971,0.001104216567570499,299.47911763191223
autoencoder,6,32,,0.0010745745214957821,0.6531127324330963,3,,,,16,25,30,0.006181366536766291,30.92509256362915,0.9842763934532801,0.0011132128434837795,377.92120265960693
autoencoder,7,32,,0.002593700192415752,0.651467545300682,3,,,,16,15,20,0.008346678238982956,29.768073196411134,0.9790799238284429,0.0016199587906400362,254.108704328537
vae,0,48,,0.0001088789485314939,0.6237631932661036,3,,32,3.615361376737862e-06,16,34,39,0.010275145800163348,30.22873057047526,0.9851056136687597,0.0015040901316388045,806.0953788757324
vae,1,16,,0.001241812617872968,0.7454149401867574,8,,128,4.871775631361157e-05,16,17,22,0.031902023473133645,21.149068851470947,0.9217330716053644,0.01604942662381897,204.07552433013916
vae,2,16,,0.00021035594949427426,0.727409879646513,3,,32,0.00017578436794457296,16,20,25,0.0650740984082222,21.15525239944458,0.806747429172198,0.016959595505710846,231.59275913238525
vae,3,48,,0.0010862806036541978,0.6887839194327464,5,,128,0.0002275426101060288,16,20,25,0.045120261187354724,20.784688316980997,0.889408101439476,0.015520294293067612,532.6213278770447
vae,4,16,,0.0010745745214957821,0.6531127324330963,3,,32,7.26532503435748e-06,16,4,20,0.036533822404841584,20.586455879211425,0.9231884036461512,0.015044196279656414,190.0961356163025
vae,5,32,,0.00013708718436549342,0.5435223695750588,5,,32,0.0002599585617194622,16,25,30,0.38771591265996297,16.89938959757487,0.17986846218506494,0.02449850271921605,412.88181018829346
vae,6,16,,0.0004771184981345435,0.5561717732839442,5,,128,2.066335287321196e-06,16,38,43,0.011918588951230049,30.497616074879964,0.981867235104243,0.0012258451041513277,431.3756196498871
vae,7,32,,0.0008196504330730313,0.8877681051398497,8,,128,5.876982006303732e-06,16,25,30,0.0065685397821168105,30.27667854944865,0.9788561405738195,0.0014328740710698184,430.33947348594666
