config,blobs_per_channel,floor_leak_mean,floor_leak_min,frac_channels_with_blob,frac_over_10pct,invented_frac_max,invented_frac_mean,n_channels,overshoot_max,overshoot_mean,overshoot_median,overshoot_p90
v12,0.0,0.2834854494035244,0.1569528430700302,0.0,0.1,0.0,0.0,300,1.2754079103469849,0.9297508005301157,0.9840719997882843,1.0999328017234802
winner,0.0,0.2098476020495097,0.08361378312110901,0.0,0.03,0.0,0.0,300,1.1307554244995117,0.8947902190685272,0.9310870170593262,1.0665420651435853
winner_aug,0.0,0.3386549226939678,0.16704046726226807,0.0,0.03,0.0,0.0,300,1.2360049486160278,0.920873859624068,0.9845916628837585,1.0680237054824828
winner_p10,0.0,0.2386540709187587,0.10506535321474075,0.0,0.0033333333333333335,0.0,0.0,300,1.103662133216858,0.890621093014876,0.9380117356777191,1.0406313300132752
