cube,channel,snr,overshoot,floor_leak,invented_frac,invented_blobs
run_0016_00550_rt_01,13,nan,0.7519452571868896,0.19707554578781128,0.0,0
run_0016_00550_rt_01,25,nan,0.587539792060852,0.18935447931289673,0.0,0
run_0016_00550_rt_01,35,nan,0.6656743884086609,0.1494632214307785,0.0,0
run_0016_00550_rt_01,42,nan,0.963779091835022,0.10964488238096237,0.0,0
run_0016_00550_rt_01,54,nan,1.0552799701690674,0.09802649915218353,0.0,0
run_0016_00550_rt_01,57,nan,1.1856588125228882,0.09253576397895813,0.0,0
run_0016_00550_rt_01,61,nan,0.9222603440284729,0.10845818370580673,0.0,0
run_0016_00550_rt_01,62,nan,0.962213933467865,0.11014442145824432,0.0,0
run_0016_00550_rt_01,63,nan,1.1621454954147339,0.09169141203165054,0.0,0
run_0016_00550_rt_01,64,nan,1.1668339967727661,0.09596672654151917,0.0,0
run_0016_00550_rt_01,70,nan,0.9709336757659912,0.09672331809997559,0.0,0
run_0016_00550_rt_01,72,nan,1.1000131368637085,0.09318147599697113,0.0,0
run_0016_00550_rt_01,77,nan,1.1277626752853394,0.09734833985567093,0.0,0
run_0016_00550_rt_01,79,nan,0.8605386018753052,0.11874300241470337,0.0,0
run_0016_00550_rt_01,81,nan,0.9314720034599304,0.10498937964439392,0.0,0
run_0016_00550_rt_01,82,nan,0.9073923230171204,0.10853280127048492,0.0,0
run_0016_00550_rt_01,84,nan,0.8997752666473389,0.10715913772583008,0.0,0
run_0016_00550_rt_01,85,nan,0.8187791109085083,0.11036844551563263,0.0,0
run_0016_00550_rt_01,86,nan,0.8098896741867065,0.12453306466341019,0.0,0
run_0016_00550_rt_01,88,nan,0.8112025856971741,0.11815763264894485,0.0,0
run_0016_00550_rt_01,92,nan,0.8363245129585266,0.1109531968832016,0.0,0
run_0016_00550_rt_01,93,nan,0.8734583854675293,0.1104668602347374,0.0,0
run_0016_00550_rt_01,95,nan,0.9344582557678223,0.10586138069629669,0.0,0
run_0016_00550_rt_01,98,nan,0.9250242710113525,0.10219109803438187,0.0,0
run_0016_00550_rt_01,99,nan,0.9062304496765137,0.10550530254840851,0.0,0
run_0016_00550_rt_01,103,nan,0.8937952518463135,0.10751760751008987,0.0,0
run_0016_00550_rt_01,105,nan,0.8058633208274841,0.12202432751655579,0.0,0
run_0016_00550_rt_01,106,nan,0.8166957497596741,0.1100301444530487,0.0,0
run_0016_00550_rt_01,107,nan,0.8560847640037537,0.1133224368095398,0.0,0
run_0016_00550_rt_01,110,nan,0.8775807619094849,0.11487673968076706,0.0,0
run_0016_00550_rt_01,113,nan,0.8095815181732178,0.11653686314821243,0.0,0
run_0016_00550_rt_01,114,nan,0.8746880292892456,0.10878412425518036,0.0,0
run_0016_00550_rt_01,116,nan,0.849124550819397,0.10455255210399628,0.0,0
run_0016_00550_rt_01,118,nan,0.8434367179870605,0.1178450733423233,0.0,0
run_0016_00550_rt_01,119,nan,0.970887303352356,0.10037259012460709,0.0,0
run_0016_00550_rt_01,121,nan,0.9711930751800537,0.1073513776063919,0.0,0
run_0016_00550_rt_01,124,nan,1.045703411102295,0.09705633670091629,0.0,0
run_0016_00550_rt_01,127,nan,1.1169682741165161,0.09486074000597,0.0,0
run_0016_00550_rt_01,128,nan,1.1471185684204102,0.0908612310886383,0.0,0
run_0016_00550_rt_01,129,nan,1.1799378395080566,0.08891452103853226,0.0,0
run_0016_00550_rt_01,130,nan,1.083282709121704,0.09685727953910828,0.0,0
run_0016_00550_rt_01,133,nan,1.1333036422729492,0.09557417035102844,0.0,0
run_0016_00550_rt_01,135,nan,1.2248053550720215,0.08566530793905258,0.0,0
run_0016_00550_rt_01,139,nan,1.2179498672485352,0.08796783536672592,0.0,0
run_0016_00550_rt_01,142,nan,1.1612271070480347,0.08661434054374695,0.0,0
run_0016_00550_rt_01,143,nan,0.9888256192207336,0.09521479159593582,0.0,0
run_0016_00550_rt_01,150,nan,0.7558922171592712,0.12623488903045654,0.0,0
run_0016_00550_rt_01,154,nan,0.8279421925544739,0.13072608411312103,0.0,0
run_0016_00550_rt_01,167,nan,0.802653968334198,0.20114591717720032,0.0,0
run_0016_00550_rt_01,195,nan,1.2341750860214233,0.19709064066410065,0.0,0
run_0036_00350_rt_03,7,nan,1.1540429592132568,0.19155222177505493,0.0,0
run_0036_00350_rt_03,9,nan,1.2552567720413208,0.19149446487426758,0.0,0
run_0036_00350_rt_03,11,nan,1.4242594242095947,0.1945759654045105,0.0,0
run_0036_00350_rt_03,19,nan,1.1560914516448975,0.1860685646533966,0.0,0
run_0036_00350_rt_03,25,nan,1.0468955039978027,0.19530229270458221,0.0,0
run_0036_00350_rt_03,30,nan,1.0092554092407227,0.1911746859550476,0.0,0
run_0036_00350_rt_03,43,nan,0.8192923069000244,0.19440916180610657,0.0,0
run_0036_00350_rt_03,45,nan,0.7903682589530945,0.19340671598911285,0.0,0
run_0036_00350_rt_03,46,nan,0.8567523956298828,0.19169804453849792,0.0,0
run_0036_00350_rt_03,47,nan,0.772689938545227,0.1919255405664444,0.0,0
run_0036_00350_rt_03,48,nan,0.7489259243011475,0.18859249353408813,0.0,0
run_0036_00350_rt_03,60,nan,0.6337730884552002,0.1947864145040512,0.0,0
run_0036_00350_rt_03,64,nan,0.7306810021400452,0.1773272603750229,0.0,0
run_0036_00350_rt_03,65,nan,0.7832918167114258,0.18488427996635437,0.0,0
run_0036_00350_rt_03,68,nan,0.9645875096321106,0.15717199444770813,0.0,0
run_0036_00350_rt_03,73,nan,0.913715660572052,0.16205638647079468,0.0,0
run_0036_00350_rt_03,74,nan,0.9042878150939941,0.156976118683815,0.0,0
run_0036_00350_rt_03,75,nan,0.9216433167457581,0.15671534836292267,0.0,0
run_0036_00350_rt_03,76,nan,0.9765328764915466,0.15945188701152802,0.0,0
run_0036_00350_rt_03,84,nan,0.8054296374320984,0.17359957098960876,0.0,0
run_0036_00350_rt_03,85,nan,0.9267074465751648,0.15397176146507263,0.0,0
run_0036_00350_rt_03,95,nan,1.0425859689712524,0.15434646606445312,0.0,0
run_0036_00350_rt_03,96,nan,0.73418790102005,0.18993085622787476,0.0,0
run_0036_00350_rt_03,100,nan,1.053815245628357,0.14158886671066284,0.0,0
run_0036_00350_rt_03,101,nan,0.9142168760299683,0.162430539727211,0.0,0
run_0036_00350_rt_03,103,nan,0.8904100060462952,0.16866831481456757,0.0,0
run_0036_00350_rt_03,108,nan,0.7727630734443665,0.17721429467201233,0.0,0
run_0036_00350_rt_03,109,nan,0.8610392212867737,0.1804596185684204,0.0,0
run_0036_00350_rt_03,110,nan,0.8072914481163025,0.17725493013858795,0.0,0
run_0036_00350_rt_03,111,nan,0.9428597092628479,0.1713780015707016,0.0,0
